entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
sensor.camera_matrimoniale_temperatura,unavailable,2026-08-01T08:24:38.485Z
sensor.camera_matrimoniale_temperatura_2,24.15900920670556,2026-01-11T12:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.038059094652777,2026-01-11T13:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.223459338380554,2026-01-11T14:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.40401591378611,2026-01-11T15:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.602002145363887,2026-01-11T16:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,25.05350409395,2026-01-11T17:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,25.369233780825,2026-01-11T18:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,25.514830142855555,2026-01-11T19:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,25.545512636716666,2026-01-11T20:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.752428493644445,2026-01-11T21:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,22.7561638151,2026-01-11T22:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.214546121866665,2026-01-11T23:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.311267382216666,2026-01-12T00:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.771730390322222,2026-01-12T01:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.39584047603333,2026-01-12T02:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.111942589205555,2026-01-12T03:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.85315045135,2026-01-12T04:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.945733167783334,2026-01-12T05:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,22.885136612194444,2026-01-12T06:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.22101969398889,2026-01-12T07:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.665138117833333,2026-01-12T08:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.014431856625,2026-01-12T09:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.095731415733333,2026-01-12T10:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.23156689578889,2026-01-12T11:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.753474719419444,2026-01-12T12:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.95575622848611,2026-01-12T13:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.251091476777777,2026-01-12T14:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.820171645233334,2026-01-12T15:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.09530176378611,2026-01-12T16:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.928943802224996,2026-01-12T17:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.147730846202776,2026-01-12T18:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.814133145302776,2026-01-12T19:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.907884500752775,2026-01-12T20:00:00.000Z
